strategy,coin,tf,period_days,oos_trades,oos_return_pct,oos_sharpe,oos_sortino,oos_max_dd,oos_pf,oos_winrate,bnh_return_pct,alpha_pct,is_sharpe,wf_sharpe_decay,verdict
ichimoku_trend_4h,DOGE,4h,180,138,64.98,23.09,174.41,0.31,40.45,47.1,-130.76,195.73,23.20,-0.5,DEPLOYABLE
ichimoku_trend_4h,ETH,4h,90,80,34.15,25.58,220.53,0.31,50.35,47.5,-66.75,100.90,38.05,-32.8,DEPLOYABLE
ichimoku_trend_4h,BTC,4h,90,164,88.89,38.49,670.19,0.31,211.48,49.4,-55.81,144.70,40.48,-4.9,DEPLOYABLE
ichimoku_trend_4h,SOL,4h,90,14,4.52,8.72,46.16,0.31,15.50,42.9,-86.70,91.22,32.19,-72.9,INSUFFISANT
ichimoku_trend_4h,DOGE,4h,90,52,20.11,19.48,126.83,0.31,29.17,46.2,-61.69,81.80,25.94,-24.9,DEPLOYABLE
donchian_breakout_1d,ETH,1d,365,0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,FAILED
donchian_breakout_1d,BTC,1d,365,0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,FAILED
donchian_breakout_1d,SOL,1d,365,0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,FAILED
donchian_breakout_1d,DOGE,1d,365,0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,FAILED
donchian_breakout_1d,ETH,1d,180,0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,FAILED
donchian_breakout_1d,BTC,1d,180,0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,FAILED
donchian_breakout_1d,SOL,1d,180,0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,FAILED
donchian_breakout_1d,DOGE,1d,180,0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,FAILED
