strategy,coin,interval,return_pct,sharpe_oos,sortino_oos,dd_pct,pf,win_rate,trades,alpha,verdict
bb_scalp_15m,ETH,15m,540.70,143.15,1308.53,0.5,92.88,70.9,963,529.48,DEPLOYABLE
bb_scalp_15m,BTC,15m,577.28,153.55,1779.18,0.5,99.99,72.9,1013,558.89,DEPLOYABLE
triple_confirm_15m,ETH,15m,0.00,0.00,0.00,0.0,0.00,0.0,0,-11.09,INSUFFISANT
triple_confirm_15m,BTC,15m,0.00,0.00,0.00,0.0,0.00,0.0,0,-18.25,INSUFFISANT
macd_momentum_1h,ETH,1h,0.00,0.00,0.00,0.0,0.00,0.0,0,160.87,INSUFFISANT
macd_momentum_1h,BTC,1h,0.00,0.00,0.00,0.0,0.00,0.0,0,110.91,INSUFFISANT
rsi_divergence_1h,ETH,1h,42.28,16.10,85.09,0.7,22.82,71.1,83,203.17,DEPLOYABLE
rsi_divergence_1h,BTC,1h,49.88,18.27,125.93,0.4,42.09,72.0,93,160.73,DEPLOYABLE
ema_adx_trend_4h,ETH,4h,681.57,37.87,183.19,1.0,16.90,79.0,709,926.37,DEPLOYABLE
ema_adx_trend_4h,BTC,4h,785.78,46.66,310.58,0.9,39.03,84.3,733,972.20,DEPLOYABLE
bb_kc_squeeze_1h,ETH,1h,0.00,0.00,0.00,0.0,0.00,0.0,0,160.84,INSUFFISANT
bb_kc_squeeze_1h,BTC,1h,0.00,0.00,0.00,0.0,0.00,0.0,0,110.88,INSUFFISANT
donchian_breakout_1d,ETH,1d,-1.25,-1.16,-1.22,4.1,0.28,12.5,32,252.55,ABANDON
donchian_breakout_1d,BTC,1d,-1.05,-1.40,-1.42,2.4,0.16,9.4,32,190.34,ABANDON
vwap_reversion_15m,ETH,15m,250.91,108.27,467.70,0.7,19.41,69.1,769,239.87,DEPLOYABLE
vwap_reversion_15m,BTC,15m,267.88,124.10,875.81,0.5,56.84,74.1,741,249.68,DEPLOYABLE
stochrsi_scalp_5m,ETH,5m,219.21,193.58,1734.33,0.3,86.06,49.1,799,207.63,DEPLOYABLE
stochrsi_scalp_5m,BTC,5m,241.65,207.26,2981.23,0.4,99.99,49.6,865,231.05,DEPLOYABLE
williams_obv_4h,ETH,4h,0.00,0.00,0.00,0.0,0.00,0.0,0,244.90,INSUFFISANT
williams_obv_4h,BTC,4h,0.00,0.00,0.00,0.0,0.00,0.0,0,186.57,INSUFFISANT
regime_adaptive_1h,ETH,1h,0.00,0.00,0.00,0.0,0.00,0.0,0,160.96,INSUFFISANT
regime_adaptive_1h,BTC,1h,0.00,0.00,0.00,0.0,0.00,0.0,0,110.99,INSUFFISANT
elder_mtf_15m,ETH,15m,0.00,0.00,0.00,0.0,0.00,0.0,0,-11.01,INSUFFISANT
elder_mtf_15m,BTC,15m,0.00,0.00,0.00,0.0,0.00,0.0,0,-18.20,INSUFFISANT
ichimoku_trend_4h,ETH,4h,0.00,0.00,0.00,0.0,0.00,0.0,0,244.87,INSUFFISANT
ichimoku_trend_4h,BTC,4h,0.00,0.00,0.00,0.0,0.00,0.0,0,186.52,INSUFFISANT
