period,strategy,coin,tf,trades,return_pct,sharpe,sortino,max_dd,pf,win_rate,verdict
P1_365d,bb_scalp_15m,ETH,15m,2219,1216.66,131.65,881.40,0.59,56.37,67.9,DEPLOYABLE
P1_365d,triple_confirm_15m,ETH,15m,953,416.30,79.73,451.30,0.69,33.01,63.4,DEPLOYABLE
P1_365d,macd_momentum_1h,ETH,1h,4011,2095.81,64.70,421.59,0.60,30.68,60.9,DEPLOYABLE
P1_365d,rsi_divergence_1h,ETH,1h,185,100.87,16.78,114.77,0.79,38.01,67.6,DEPLOYABLE
P1_365d,ema_adx_trend_4h,ETH,4h,1885,1873.43,40.40,197.65,0.96,22.46,69.8,DEPLOYABLE
P1_365d,bb_kc_squeeze_1h,ETH,1h,311,140.99,17.81,100.49,0.66,19.50,60.8,DEPLOYABLE
P1_365d,donchian_breakout_1d,ETH,1d,32,-3.10,-1.43,-1.41,5.02,0.01,12.5,ABANDON
P1_365d,vwap_reversion_15m,ETH,15m,1783,561.46,99.51,368.82,1.15,15.68,63.1,DEPLOYABLE
P1_365d,stochrsi_scalp_5m,ETH,5m,2005,539.51,183.35,1270.49,0.81,51.13,48.4,DEPLOYABLE
P1_365d,williams_obv_4h,ETH,4h,231,177.52,11.61,50.71,1.33,12.12,66.7,DEPLOYABLE
P1_365d,regime_adaptive_1h,ETH,1h,4096,4445.43,77.00,532.64,0.58,51.21,56.9,DEPLOYABLE
P1_365d,elder_mtf_15m,ETH,15m,89,68.78,24.53,1607.10,0.15,342.37,68.5,DEPLOYABLE
P1_365d,ichimoku_trend_4h,ETH,4h,2681,3895.88,46.86,297.47,0.76,35.14,60.3,DEPLOYABLE
P1_365d,bb_scalp_15m,BTC,15m,2229,1271.12,141.04,1594.92,0.63,174.64,69.9,DEPLOYABLE
P1_365d,triple_confirm_15m,BTC,15m,1063,486.62,94.30,706.98,0.94,62.94,68.5,DEPLOYABLE
P1_365d,macd_momentum_1h,BTC,1h,3845,1314.58,58.79,368.30,0.73,26.50,59.4,DEPLOYABLE
P1_365d,rsi_divergence_1h,BTC,1h,235,130.01,19.68,168.04,0.38,63.17,69.8,DEPLOYABLE
P1_365d,ema_adx_trend_4h,BTC,4h,1909,2129.28,53.02,412.55,0.96,67.47,75.0,DEPLOYABLE
P1_365d,bb_kc_squeeze_1h,BTC,1h,411,126.88,20.95,120.96,0.77,21.44,64.0,DEPLOYABLE
P1_365d,donchian_breakout_1d,BTC,1d,32,-1.60,-1.30,-1.29,2.61,0.02,15.6,A_OPTIMISER
P1_365d,vwap_reversion_15m,BTC,15m,1733,613.37,119.08,653.91,0.80,41.33,68.4,DEPLOYABLE
P1_365d,stochrsi_scalp_5m,BTC,5m,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
P1_365d,williams_obv_4h,BTC,4h,323,303.95,18.20,194.14,0.83,77.39,76.2,DEPLOYABLE
P1_365d,regime_adaptive_1h,BTC,1h,0,0.00,0.00,0.00,0.00,0.00,0.0,FAILED
